Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year,Date,Year_minus_2016,Volume,Volume_Litres,Category_ID,Subcategory_Name,Category_Name
8,Alcoholic Drinks,13,1,Total Volume,Brauerei C & A Veltins GmbH & Co KG,million litres,2016,2016-12-31,4,"306,566069",306566069,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Taiwan Tobacco & Liquor Corp,million litres,2016,2016-12-31,4,"347,3104136",347310414,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Yuengling Brewery,million litres,2016,2016-12-31,4,"294,3299795",294329980,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Warsteiner Brauerei Haus Cramer GmbH & Co KG,million litres,2016,2016-12-31,4,"379,5017431",379501743,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Royal Unibrew A/S,million litres,2016,2016-12-31,4,"208,3778782",208377878,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Olvi Oyj,million litres,2016,2016-12-31,4,"279,6438919",279643892,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,CervecerÃ­a Centroamericana SA,million litres,2016,2016-12-31,4,"144,658509",144658509,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Brau Holding International AG,million litres,2016,2016-12-31,4,"283,9689949",283968995,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,"Boston Beer Co Inc, The",million litres,2016,2016-12-31,4,"285,4195146",285419515,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Bavaria NV,million litres,2016,2016-12-31,4,"204,2821003",204282100,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,BGI Ethiopia Plc,million litres,2016,2016-12-31,4,"110,0000024",110000002,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Ochakovo MPBK ZAO,million litres,2016,2016-12-31,4,"252,4954917",252495492,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,million litres,2016,2016-12-31,4,"198,2200553",198220055,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Karlsberg Brauerei GmbH & Co KG,million litres,2016,2016-12-31,4,"217,8092267",217809227,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Behnoush Iran Co,million litres,2016,2016-12-31,4,"194,1844036",194184404,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,"Cisneros, Grupo",million litres,2016,2016-12-31,4,"317,5936067",317593607,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Asia Brewery Inc,million litres,2016,2016-12-31,4,"478,6144925",478614492,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,SABMiller Plc,million litres,2016,2016-12-31,4,"18146,17543",18146175430,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Unicer - Bebidas de Portugal SA,million litres,2016,2016-12-31,4,"279,0627358",279062736,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,China Resources Enterprise Ltd,million litres,2016,2016-12-31,4,"10619,6407",10619640700,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Pabst Brewing Co,million litres,2016,2016-12-31,4,"1101,574601",1101574601,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Oriental Brewery Co Ltd,million litres,2016,2016-12-31,4,"1080,866152",1080866152,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Nantong Fuhao Alcohol Industry Co Ltd,million litres,2016,2016-12-31,4,"364,0999947",364099995,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,"Modelo SA de CV, Grupo",million litres,2016,2016-12-31,4,"5578,175039",5578175039,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Chongqing Brewery Co Ltd,million litres,2016,2016-12-31,4,"1140,302459",1140302459,1,Beer,Beer
