Location,Industry,Edition,Category_Name,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Date,Volume,Volume_Litres,Subcategory_Name
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007-12-31,"2613,845506",2613845506,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008-12-31,"2513,025824",2513025824,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009-12-31,"2421,088595",2421088595,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010-12-31,"2422,128432",2422128432,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011-12-31,"2439,33622",2439336220,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012-12-31,"2350,706878",2350706878,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013-12-31,"2334,371075",2334371075,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014-12-31,"2411,08918",2411089180,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015-12-31,"2514,830016",2514830016,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016-12-31,"2541,507631",2541507631,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017-12-31,"2693,28005",2693280050,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018-12-31,"2842,976953",2842976953,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019-12-31,"2992,020037",2992020037,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020-12-31,"3129,02332",3129023320,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021-12-31,"3230,097024",3230097024,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007-12-31,"1527,323946",1527323946,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008-12-31,"1560,079203",1560079203,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009-12-31,"1603,217792",1603217792,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010-12-31,"1623,818046",1623818046,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011-12-31,"1651,190297",1651190297,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012-12-31,"1687,361082",1687361082,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013-12-31,"1674,914394",1674914394,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014-12-31,"1628,408856",1628408856,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015-12-31,"1593,177076",1593177076,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016-12-31,"1511,083599",1511083599,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017-12-31,"1494,300042",1494300042,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018-12-31,"1482,403794",1482403794,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019-12-31,"1462,889904",1462889904,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020-12-31,"1475,318219",1475318219,Beer
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021-12-31,"1481,95942",1481959420,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007-12-31,"519,1570874",519157087,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008-12-31,"498,6295535",498629554,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009-12-31,"525,5636082",525563608,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010-12-31,"673,0312344",673031234,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011-12-31,"816,6885596",816688560,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012-12-31,"908,3348745",908334874,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013-12-31,"951,7625705",951762570,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014-12-31,"954,5248795",954524880,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015-12-31,"1041,447991",1041447991,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016-12-31,"1225,809768",1225809768,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017-12-31,"1272,608979",1272608979,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018-12-31,"1275,200171",1275200171,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019-12-31,"1245,600776",1245600776,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020-12-31,"1281,698565",1281698565,Beer
3,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021-12-31,"1314,849126",1314849126,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007-12-31,"2851,480547",2851480547,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008-12-31,"3012,87936",3012879360,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009-12-31,"3204,334693",3204334693,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010-12-31,"3432,131323",3432131323,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011-12-31,"3708,793219",3708793219,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012-12-31,"3690,16943",3690169430,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013-12-31,"3747,622542",3747622542,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014-12-31,"3705,497658",3705497658,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015-12-31,"3647,64655",3647646550,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016-12-31,"3712,059189",3712059189,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017-12-31,"3730,12338",3730123380,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018-12-31,"3811,532919",3811532919,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019-12-31,"3827,867144",3827867144,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020-12-31,"3477,529934",3477529934,Beer
4,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021-12-31,"3490,710758",3490710758,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007-12-31,"4468,82707",4468827070,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008-12-31,"4628,663923",4628663923,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009-12-31,"4895,915203",4895915203,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010-12-31,"5110,190402",5110190402,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011-12-31,"5235,445565",5235445565,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012-12-31,"5480,1969",5480196900,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013-12-31,"5627,01155",5627011550,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014-12-31,"5505,369141",5505369141,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015-12-31,"5646,076843",5646076843,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016-12-31,"5800,711599",5800711599,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017-12-31,"5894,056014",5894056014,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018-12-31,"6024,256409",6024256409,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019-12-31,"6183,858351",6183858351,Beer
5,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020-12-31,"6332,976954",6332976954,Beer
