Location,Industry,Edition,Category_Name,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Date,Volume,Volume_Litres,Subcategory_Name
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2010-12-31,"510,4661398",510466140,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2011-12-31,"500,723926",500723926,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2012-12-31,"563,2590746",563259075,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2013-12-31,"539,6228492",539622849,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2014-12-31,"566,7439947",566743995,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2015-12-31,"574,4018412",574401841,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2016-12-31,"604,2133634",604213363,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2017-12-31,"564,8491567",564849157,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2018-12-31,"539,3837562",539383756,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2019-12-31,"518,0748866",518074887,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2020-12-31,"515,9760062",515976006,Beer
6,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2021-12-31,"504,8117018",504811702,Beer
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2007-12-31,"0,370746392",371,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2008-12-31,"0,328194056",328,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2009-12-31,"0,292229589",292,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2010-12-31,"0,281736521",282,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2011-12-31,"0,273624397",274,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2012-12-31,"0,304214066",304,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2013-12-31,"0,329162256",329,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2014-12-31,"0,366792837",367,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2015-12-31,"0,427262663",427,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2016-12-31,"0,715053518",715,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2017-12-31,"2,381441279",2381,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2018-12-31,"7,105805597",7106,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2019-12-31,"8,050876031",8051,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2020-12-31,"7,178983817",7179,Cider/Perry
6,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2021-12-31,"6,341886757",6342,Cider/Perry
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2007-12-31,"6,197162952",6197,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2008-12-31,"5,615213454",5615,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2009-12-31,"5,439892569",5440,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2010-12-31,"4,591188525",4591,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2011-12-31,"3,518896101",3519,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2012-12-31,"3,168431554",3168,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2013-12-31,"3,780452509",3780,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2014-12-31,"3,206403732",3206,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2015-12-31,"5,839210792",5839,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2016-12-31,"5,724130012",5724,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2017-12-31,"8,404947337",8405,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2018-12-31,"8,251192655",8251,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2019-12-31,"7,523611885",7524,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2020-12-31,"7,101194204",7101,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2021-12-31,"6,996792083",6997,RTDs/High-Strength Premixes
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2007-12-31,"14,50235959",14502,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2008-12-31,"15,98548169",15985,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2009-12-31,"16,29555146",16296,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2010-12-31,"16,76737263",16767,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2011-12-31,"17,24566415",17246,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2012-12-31,"19,1114763",19111,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2013-12-31,"19,75307948",19753,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2014-12-31,"17,77737046",17777,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2015-12-31,"14,31525563",14315,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2016-12-31,"24,23187081",24232,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2017-12-31,"27,06450509",27065,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2018-12-31,"27,75765483",27758,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2019-12-31,"28,38361037",28384,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2020-12-31,"30,10401035",30104,Spirits
6,Alcoholic Drinks,2022,Spirits,1,Off-trade Volume,Drugstores/parapharmacies,3,000 litres,2021-12-31,"31,11572995",31116,Spirits
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2007-12-31,"18,37866974",18378670,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2008-12-31,"19,05552388",19055524,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2009-12-31,"31,32059443",31320594,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2010-12-31,"46,44056347",46440563,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2011-12-31,"49,08700705",49087007,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2012-12-31,"51,86721668",51867217,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2013-12-31,"44,4136545",44413654,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2014-12-31,"57,13626596",57136266,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2015-12-31,"64,15470884",64154709,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2016-12-31,"61,36611527",61366115,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2017-12-31,"65,33625579",65336256,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2018-12-31,"66,67196267",66671963,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2019-12-31,"65,73504471",65735045,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2020-12-31,"64,84334085",64843341,Wine
6,Alcoholic Drinks,2022,Wine,1,Off-trade Volume,Drugstores/parapharmacies,3,million litres,2021-12-31,"65,60760963",65607610,Wine
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2007-12-31,"54,63435762",54634358,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2008-12-31,"55,56118366",55561184,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2009-12-31,"56,96640046",56966400,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2010-12-31,"68,99286266",68992863,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2011-12-31,"81,17455398",81174554,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2012-12-31,"93,57670016",93576700,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2013-12-31,"106,0570246",106057025,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2014-12-31,"121,5430702",121543070,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2015-12-31,"135,7282989",135728299,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2016-12-31,"145,3793408",145379341,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2017-12-31,"137,4236433",137423643,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2018-12-31,"131,9863367",131986337,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2019-12-31,"127,2269167",127226917,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2020-12-31,"127,1479147",127147915,Beer
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Variety Stores,3,million litres,2021-12-31,"128,2201892",128220189,Beer
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2007-12-31,"0,02560738",26,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2008-12-31,"0,023809499",24,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2009-12-31,"0,023414365",23,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2010-12-31,"0,023885555",24,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2011-12-31,"0,024915483",25,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2012-12-31,"0,026056253",26,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2013-12-31,"0,026731042",27,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2014-12-31,"0,028004437",28,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2015-12-31,"0,029607997",30,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2016-12-31,"0,029227026",29,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2017-12-31,"0,026569554",27,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2018-12-31,"0,025669711",26,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2019-12-31,"0,024165231",24,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2020-12-31,"0,023648129",24,Cider/Perry
1,Alcoholic Drinks,2022,Cider/Perry,1,Off-trade Volume,Variety Stores,3,000 litres,2021-12-31,"0,021680797",22,Cider/Perry
1,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Variety Stores,3,000 litres,2007-12-31,"10,89663975",10897,RTDs/High-Strength Premixes
1,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Variety Stores,3,000 litres,2008-12-31,"11,85799788",11858,RTDs/High-Strength Premixes
1,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Variety Stores,3,000 litres,2009-12-31,"12,93138749",12931,RTDs/High-Strength Premixes
1,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Variety Stores,3,000 litres,2010-12-31,"13,398045",13398,RTDs/High-Strength Premixes
1,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Variety Stores,3,000 litres,2011-12-31,"13,41876596",13419,RTDs/High-Strength Premixes
1,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Variety Stores,3,000 litres,2012-12-31,"14,1501655",14150,RTDs/High-Strength Premixes
1,Alcoholic Drinks,2022,RTDs/High-Strength Premixes,1,Off-trade Volume,Variety Stores,3,000 litres,2013-12-31,"15,40067834",15401,RTDs/High-Strength Premixes
